Asset,Strategy,RoundTripCost,Annualised Return,Annualised Volatility,Sharpe,Sortino,Skew,Max Drawdown,Avg |Δw|
GLD,VC_CONTRARIAN,0.0,0.009961855222562876,0.17385523065096242,0.14390515971145246,0.2032592520298983,0.0937179999026291,-0.4185900937609329,0.1832026875699888
GLD,VC_CONTRARIAN,0.0002,0.005307608759445248,0.17387355887960992,0.11734383815329832,0.16574337956839214,0.09376305968841202,-0.43034091883746006,0.1832026875699888
GLD,VC_CONTRARIAN,0.001,-0.013105009850115978,0.17399506634286788,0.01115143589024844,0.015753497062121605,0.09373359714859836,-0.4750382578670107,0.1832026875699888
GLD,VC_FLAT,0.0,0.025209027391538852,0.10082777025613704,0.29740776384682105,0.3049364279107606,-0.31904056871214637,-0.2997393869881685,0.10235162374020157
GLD,VC_FLAT,0.0002,0.022566014565242654,0.10085559127227652,0.27175764827916754,0.2789531926404514,-0.3212672826441923,-0.30240358267839496,0.10235162374020157
GLD,VC_FLAT,0.001,0.01205803433585717,0.10100213355338535,0.1692394423391475,0.1745182117562071,-0.33033944290790485,-0.3129636746255233,0.10235162374020157
IEF,BH,0.0,0.027802573453277635,0.06977404600266683,0.4279095435325297,0.660735643019408,0.15561725326854262,-0.23924780132943113,0.0
IEF,BH,0.0002,0.027802573453277635,0.06977404600266683,0.4279095435325297,0.660735643019408,0.15561725326854262,-0.23924780132943113,0.0
IEF,BH,0.001,0.027802573453277635,0.06977404600266683,0.4279095435325297,0.660735643019408,0.15561725326854262,-0.23924780132943113,0.0
IEF,TSMOM,0.0,0.01770898403812793,0.06978803455823589,0.28643047271831806,0.4354739465036807,-0.0323306011821428,-0.16842237495881907,0.11377379619260919
IEF,TSMOM,0.0002,0.014794124017303734,0.06981596873936251,0.2452585326470311,0.37276886138891435,-0.031903322379568506,-0.1725731981238693,0.11377379619260919
